frame_path,video_stem,labels_str,fold
data/frames/9_forstep3/1000_f00.jpg,1000,,
data/frames/9_forstep3/1000_f01.jpg,1000,,
data/frames/9_forstep3/1000_f02.jpg,1000,,
data/frames/9_forstep3/1000_f03.jpg,1000,,
data/frames/9_forstep3/1000_f04.jpg,1000,,
data/frames/9_forstep3/1000_f05.jpg,1000,,
data/frames/9_forstep3/1000_f06.jpg,1000,,
data/frames/9_forstep3/1000_f07.jpg,1000,,
data/frames/9_forstep3/1000_f08.jpg,1000,,
data/frames/9_forstep3/1001_f00.jpg,1001,,
data/frames/9_forstep3/1001_f03.jpg,1001,,
data/frames/9_forstep3/1001_f04.jpg,1001,,
data/frames/9_forstep3/1001_f05.jpg,1001,,
data/frames/9_forstep3/1001_f06.jpg,1001,,
data/frames/9_forstep3/1001_f07.jpg,1001,,
data/frames/9_forstep3/1001_f08.jpg,1001,,
data/frames/9_forstep3/1002_f00.jpg,1002,0,3.0
data/frames/9_forstep3/1002_f02.jpg,1002,0,3.0
data/frames/9_forstep3/1002_f03.jpg,1002,0,3.0
data/frames/9_forstep3/1002_f04.jpg,1002,0,3.0
data/frames/9_forstep3/1002_f05.jpg,1002,0,3.0
data/frames/9_forstep3/1002_f07.jpg,1002,0,3.0
data/frames/9_forstep3/1002_f08.jpg,1002,0,3.0
data/frames/9_forstep3/1003_f00.jpg,1003,,
data/frames/9_forstep3/1003_f01.jpg,1003,,
data/frames/9_forstep3/1003_f02.jpg,1003,,
data/frames/9_forstep3/1003_f03.jpg,1003,,
data/frames/9_forstep3/1003_f05.jpg,1003,,
data/frames/9_forstep3/1003_f06.jpg,1003,,
data/frames/9_forstep3/1003_f08.jpg,1003,,
data/frames/9_forstep3/1004_f00.jpg,1004,0,3.0
data/frames/9_forstep3/1004_f01.jpg,1004,0,3.0
data/frames/9_forstep3/1004_f02.jpg,1004,0,3.0
data/frames/9_forstep3/1004_f03.jpg,1004,0,3.0
data/frames/9_forstep3/1004_f04.jpg,1004,0,3.0
data/frames/9_forstep3/1004_f06.jpg,1004,0,3.0
data/frames/9_forstep3/1004_f07.jpg,1004,0,3.0
data/frames/9_forstep3/1004_f08.jpg,1004,0,3.0
data/frames/9_forstep3/1005_f00.jpg,1005,0,2.0
data/frames/9_forstep3/1005_f01.jpg,1005,0,2.0
data/frames/9_forstep3/1005_f03.jpg,1005,0,2.0
data/frames/9_forstep3/1005_f04.jpg,1005,0,2.0
data/frames/9_forstep3/1005_f07.jpg,1005,0,2.0
data/frames/9_forstep3/1005_f08.jpg,1005,0,2.0
data/frames/9_forstep3/1006_f00.jpg,1006,,
data/frames/9_forstep3/1006_f01.jpg,1006,,
data/frames/9_forstep3/1006_f03.jpg,1006,,
data/frames/9_forstep3/1006_f04.jpg,1006,,
